"start_date","end_date","id","title","url","reasons","status","risk_level","establishment_id","establishment_slug","establishment_name","establishment_address","establishment_telephone","establishment_grant_date","establishment_activities","quantity_recovered","quantity_unit","states"
"2010-02-16","2013-06-03","006-2010-EXP2","Rhode Island Firm Recalls Italian Sausage Products due to Possible Salmonella Contamination","https://www.fsis.usda.gov/recalls-alerts/rhode-island-firm-recalls-italian-sausage-products-due-possible-salmonella-1","Product Contamination","Closed","High","M459+P459","daniele-international-1","Daniele International","180 Davis Drive   Pascoag, RI 2859","(401) 568-6228","2020-07-17","Meat Processing, Poultry Processing","234686","pounds",""
"2010-03-02","2012-06-03","013-2010","Recall Notification Report","https://www.fsis.usda.gov/recalls-alerts/recall-notification-report-26","Product Contamination","Closed","Low","M6590","randolph-packing-co-inc","Randolph Packing Co., Inc.","403 West Balfour Ave.   Asheboro, NC 27203","(336) 672-1470","1995-11-16","Meat Processing, Meat Slaughter","100949","pounds","Illinois, Missouri, New York, Ohio, Virginia"
"2010-03-08","2012-06-03","014-2010","Recall Notification Report","https://www.fsis.usda.gov/recalls-alerts/recall-notification-report-27","Mislabeling","Closed","Low","M525+P2854","rudolph-foods-company-inc","Rudolph Foods Company Inc.","920 West 4th Street   Beaumont, CA 92223","(909) 388-2202","2016-08-01","Meat Processing, Poultry Processing","647","pounds",""
"2010-03-09","2012-06-03","016-2010","Texas Firm Recalls Ready-To-Eat Beef Product due to Possible Salmonella Contamination","https://www.fsis.usda.gov/recalls-alerts/texas-firm-recalls-ready-eat-beef-product-due-possible-salmonella-contamination","Product Contamination","Closed","High","M17523A+P17523A","ruiz-food-products-inc-2","Ruiz Food Products, Inc.","2410 Texoma Drive   Denison, TX 75020","(559) 591-5510","2021-11-05","Meat Processing, Poultry Processing","115106","pounds",""
"2010-03-09","2012-06-03","017-2010","Texas Firm Recalls Ready-To-Eat Beef Taquito and Chicken Quesadilla Products due to Possible Salmonella Contamination","https://www.fsis.usda.gov/recalls-alerts/texas-firm-recalls-ready-eat-beef-taquito-and-chicken-quesadilla-products-due","Product Contamination","Closed","High","","","","","","","","517705","pounds",""
"2010-03-11","2012-06-03","018-2010","New York Firm Recalls Various Chicken Products Produced Without Inspection","https://www.fsis.usda.gov/recalls-alerts/new-york-firm-recalls-various-chicken-products-produced-without-inspection","Produced Without Benefit of Inspection","Closed","High","","","","","","","","13","pounds","New York"
"2010-03-12","2012-06-03","019-2010","California Firm Recalls Enchilada Products Due to Mislabeling and an Undeclared Allergen","https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-enchilada-products-due-mislabeling-and-undeclared-allergen","Unreported Allergens","Closed","High","","","","","","","","6239","pounds","Alabama, Arkansas, California, Tennessee, Texas"
"2010-03-13","2012-06-03","020-2010","Nevada Firm Recalls Assorted Asian-Style Products Produced Without Inspection","https://www.fsis.usda.gov/recalls-alerts/nevada-firm-recalls-assorted-asian-style-products-produced-without-inspection","Produced Without Benefit of Inspection","Closed","High","M40079+P40079+V40079","caie-foods-partnership-ltd","CAIE Foods Partnership, LTD","1802-A Brierley Way   Sparks, NV 89434","(775) 356-8838","2022-01-28","Meat Processing, Poultry Processing, Voluntary Processing - Meat","3026","pounds","Nevada"
"2010-03-16","","PHA-031610-01","FSIS Issues Public Health Alert For Ready-To-Eat Deli Meat Products","https://www.fsis.usda.gov/recalls-alerts/fsis-issues-public-health-alert-ready-eat-deli-meat-products","Product Contamination","Active","","","","","","","","","","",""
"2010-03-19","2012-06-03","021-2010","Indiana Firm Recalls Fresh Sweet Italian Turkey Sausage Products Due To an Undeclared Allergen","https://www.fsis.usda.gov/recalls-alerts/indiana-firm-recalls-fresh-sweet-italian-turkey-sausage-products-due-undeclared","Unreported Allergens","Closed","Low","P286","perdue-foods-llc-7","Perdue Foods LLC","65 South 200 West   Washington, IN 47501","(812) 254-8562","2017-11-03","Poultry Processing, Poultry Slaughter","4124","pounds","Florida, Illinois, Indiana, Kentucky, Maryland, Missouri, New Jersey, New York, Ohio, Pennsylvania, Virginia"
"2010-04-04","2012-06-03","022-2010","Minnesota Firm Recalls Ham Products for Possible Listeria Contamination","https://www.fsis.usda.gov/recalls-alerts/minnesota-firm-recalls-ham-products-possible-listeria-contamination","Product Contamination","Closed","High","M21207+P21207+V21207","lorentz-etc-inc","Lorentz Etc. Inc.","705 Cannon Industrial Blvd.   Cannon Falls, MN 55009","(507) 263-3618","2017-08-21","Certification - Export, Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat","28","pounds","Minnesota"
"2010-04-05","2012-06-03","023-2010","North Dakota Firm Recalls Whole Beef Head Products That Contain Prohibited Materials","https://www.fsis.usda.gov/recalls-alerts/north-dakota-firm-recalls-whole-beef-head-products-contain-prohibited-materials","Product Contamination","Closed","Low","M18859+P18859+V18859","north-american-bison-llc","North American Bison, LLC","1658 Hwy 281   New Rockford, ND 58356","(701) 947-2505","2021-02-23","Certification - Export, Meat Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat","17460","pounds","Maryland, Colorado, Minnesota"
"2010-04-17","2012-06-03","024-2010","California Firm Recalls Assorted Meat Products Due To Mislabeling And An Undeclared Allergen","https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-assorted-meat-products-due-mislabeling-and-undeclared","Unreported Allergens","Closed","Low","M1627A+P1627A+V1627A","west-lake-food-corporation","West Lake Food Corporation","2430 W. Cape Cod Way   Santa Ana, CA 92703","(714) 973-2286","2016-04-18","Certification - Export, Meat Processing, Poultry Processing","7741","pounds",""
"2010-04-21","2012-06-03","025-2010","Texas Firm Recalls Beef Trim Products Due To Possible E. coli O157:H7 Contamination","https://www.fsis.usda.gov/recalls-alerts/texas-firm-recalls-beef-trim-products-due-possible-e.-coli-o157h7-contamination","Product Contamination","Closed","High","M7041B+P7041+V7041B","beltex-corporation","Beltex Corporation","3801 North Grove Street   Fort Worth, TX 76106","(817) 624-1136","2011-06-09","Meat Processing, Meat Slaughter, Voluntary Processing - Exotic, Voluntary Processing - Meat, Voluntary Slaughter - Exotic, Voluntary Slaughter - Meat","62144","pounds","Georgia, Louisiana, Ohio, Oklahoma, Texas, Washington, Wisconsin"
"2010-04-29","2012-06-03","026-2010","North Carolina Firm Recalls Brunswick Stew Products due to Undeclared Allergens","https://www.fsis.usda.gov/recalls-alerts/north-carolina-firm-recalls-brunswick-stew-products-due-undeclared-allergens","Unreported Allergens","Closed","High","","","","","","","","157","pounds","North Carolina"
"2010-05-01","2012-06-03","027-2010","Colorado Firm Recalls Fully Cooked Crumbled Pork Sausage Products for Possible Listeria Contamination","https://www.fsis.usda.gov/recalls-alerts/colorado-firm-recalls-fully-cooked-crumbled-pork-sausage-products-possible-listeria","Product Contamination","Closed","High","M4121+P4121+V4121","custom-corned-beef-llc","Custom Corned Beef LLC","16500 State Hwy 52   Wiggins, CO 80654","(303) 296-8686","2019-07-03","Meat Processing, Poultry Processing, Voluntary Processing - Meat","460","pounds","Colorado"
"2010-05-04","2012-06-03","028-2010","Imported Prosciutto Products (Listeria)","https://www.fsis.usda.gov/recalls-alerts/imported-prosciutto-products-listeria","Product Contamination","Closed","High","","","","","","","","192","pounds","Illinois"
"2010-05-05","2012-06-03","029-2010","Imported Prosciutto Products (Listeria)","https://www.fsis.usda.gov/recalls-alerts/imported-prosciutto-products-listeria-0","Product Contamination","Closed","High","","","","","","","","868","pounds","Delaware"
"2010-05-05","2012-06-03","030-2010","Massachusetts Firm Recalls Buffalo Style Chicken Salad Products That May Contain Foreign Materials","https://www.fsis.usda.gov/recalls-alerts/massachusetts-firm-recalls-buffalo-style-chicken-salad-products-may-contain-foreign","Product Contamination","Closed","Low","M17999+P17999","boston-salads-and-provisions-company-inc","Boston Salads and Provisions Company Inc.","24 Chesterton Street   Boston, MA 2119","(617) 541-9046","2011-07-08","Meat Processing, Poultry Processing","6","pounds","Maine, Massachusetts"
"2010-05-07","2012-06-04","031-2010","Illinois Firm Recalls Mini Pretzel Dog Products Due To Lack Of Inspection","https://www.fsis.usda.gov/recalls-alerts/illinois-firm-recalls-mini-pretzel-dog-products-due-lack-inspection","Produced Without Benefit of Inspection","Closed","Low","M1+P1370","vienna-beef-ltd","Vienna Beef Ltd.","1000 West Pershing Road   Chicago, IL 60609","(312) 278-7800","2019-02-26","Meat Processing, Poultry Processing","12821","pounds","Illinois, Minnesota, Wisconsin"
"2010-05-10","","PHA-051010-01","FSIS Issues Public Health Alert for Various Imported Canadian Ready-To-Eat Prosciutto Deli Meat Products","https://www.fsis.usda.gov/recalls-alerts/fsis-issues-public-health-alert-various-imported-canadian-ready-eat-prosciutto-deli","Product Contamination","Active","","","","","","","","","","",""
"2010-05-12","2012-06-04","032-2010","California Firm Recalls Chicken and Beef Puff Products Due to Mislabeling and Undeclared Allergens","https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-chicken-and-beef-puff-products-due-mislabeling-and","Unreported Allergens, Mislabeling","Closed","High","M9014+P9014","galant-food-company","Galant Food Company","735 Fremont Avenue   San Leandro, CA 94577","(510) 614-7150","2013-05-07","Meat Processing, Poultry Processing","0","pounds","California"
"2010-05-14","2012-06-04","033-2010","Illinois Firm Recalls Imported Beef Products Due to Potential Animal Drug Contaminant","https://www.fsis.usda.gov/recalls-alerts/illinois-firm-recalls-imported-beef-products-due-potential-animal-drug-contaminant","Product Contamination","Closed","Low","","","","","","","","190890","pounds",""
"2010-05-15","2012-06-04","034-2010","California Firm Recalls Ground Beef Products Due To Possible E. coli O157:H7 Contamination","https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-ground-beef-products-due-possible-e.-coli-o157h7-0","Product Contamination","Closed","High","","","","","","","","11985","pounds","California"
"2010-06-17","2012-06-04","035-2010","Texas Firm Recalls Three Varieties of ""SpaghettiOs"" With Meatballs That May Be Underprocessed","https://www.fsis.usda.gov/recalls-alerts/texas-firm-recalls-three-varieties-spaghettios-meatballs-may-be-underprocessed","Processing Defect","Closed","High","M4K+P13","campbell-soup-supply-company-l-l-c","Campbell Soup Supply Company L.L.C.","500 NW Loop 286   Paris, TX 75461","(903) 784-3341","2011-06-29","Meat Processing, Poultry Processing","3772102","pounds",""
"2010-06-17","2012-06-04","036-2010","Iowa Firm Recalls Frozen Chicken Products Due To Possible Salmonella Contamination","https://www.fsis.usda.gov/recalls-alerts/iowa-firm-recalls-frozen-chicken-products-due-possible-salmonella-contamination","Product Contamination","Closed","High","","","","","","","","429975","pounds",""
"2010-06-22","2012-06-04","037-2010","New York Firm Recalls Ground Beef Products Due To Possible E. coli O157:H7 Contamination","https://www.fsis.usda.gov/recalls-alerts/new-york-firm-recalls-ground-beef-products-due-possible-e.-coli-o157h7-contamination","Product Contamination","Closed","High","M20889+P20889","crown-i-enterprises-inc","Crown I Enterprises, Inc.","85 Saxon Avenue   Bay Shore, NY 11706","(631) 206-2620","2020-10-06","Meat Processing, Poultry Processing","266","pounds","Connecticut, New Jersey, New York"
"2010-06-22","2012-06-04","038-2010","California Firm Recalls Ground Beef Products Due To Possible E. coli O157:H7 Contamination","https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-ground-beef-products-due-possible-e.-coli-o157h7-1","Product Contamination","Closed","High","M6217+P6217","south-gate-meat-co","South Gate Meat Co.","9336 Long Beach Blvd.   South Gate, CA 90280","(213) 564-1701","1998-03-10","Meat Processing","20768","pounds","California"
"2010-06-24","2010-06-24","039-2010","Illinois Firm Recalls Imported Beef Products Due to Potential Animal Drug Contaminant","https://www.fsis.usda.gov/recalls-alerts/illinois-firm-recalls-imported-beef-products-due-potential-animal-drug-contaminant-0","Product Contamination","Closed","Low","","","","","","","","54655","pounds",""
"2010-06-25","2012-06-04","040-2010","Illinois Firm Recalls BBQ Chicken Pizza Products That May Contain Foreign Materials","https://www.fsis.usda.gov/recalls-alerts/illinois-firm-recalls-bbq-chicken-pizza-products-may-contain-foreign-materials","Product Contamination","Closed","Low","M2539B+P2539B","great-kitchens-food-company","Great Kitchens Food Company","300 Innovation Dr.   Romeoville, IL 60446","(815) 588-6867","2020-12-28","Meat Processing, Poultry Processing","96173","pounds",""
"2010-06-30","2012-06-04","041-2010","Recall Notification Report","https://www.fsis.usda.gov/recalls-alerts/recall-notification-report-28","Mislabeling","Closed","Low","M1394+P502+V1394","ofd-foods-inc","OFD Foods, Inc.","770 29th Avenue SW   Albany, OR 97321","(541) 926-6001","2016-09-29","Animal Foods Inspection, Certification - Export, Meat Processing, Poultry Processing","0","pounds",""
"2010-06-30","","042-2010","Texas Firm Recalls Cervelat Sausage Product due to an Undeclared Allergen","https://www.fsis.usda.gov/recalls-alerts/texas-firm-recalls-cervelat-sausage-product-due-undeclared-allergen","Unreported Allergens","Active","High","","","","","","","","","","Texas"
"2010-07-06","2012-06-04","044-2010","Michigan Firm Recalls Beef Jerky Products Due to Mislabeling and Undeclared Allergen","https://www.fsis.usda.gov/recalls-alerts/michigan-firm-recalls-beef-jerky-products-due-mislabeling-and-undeclared-allergen","Unreported Allergens","Closed","Low","","","","","","","","2901","pounds","Illinois"
"2010-07-07","2012-06-04","043-2010","Colorado Firm Recalls Bison Products Due to Possible E. Coli O157:H7 Contamination","https://www.fsis.usda.gov/recalls-alerts/colorado-firm-recalls-bison-products-due-possible-e.-coli-o157h7-contamination","Product Contamination","Closed","High","M20247+V20247","rocky-mountain-natural-meats","Rocky Mountain Natural Meats","9757 Alton Way   Henderson, CO 80640","(303) 287-7100","2007-12-05","Certification - Export, Meat Processing, Voluntary Processing - Meat","70","pounds",""
"2010-07-07","2012-06-04","045-2010","Pennsylvania Firm Recalls Fully Cooked Turkey Breast Products for Possible Listeria Contamination","https://www.fsis.usda.gov/recalls-alerts/pennsylvania-firm-recalls-fully-cooked-turkey-breast-products-possible-listeria","Product Contamination","Closed","High","","","","","","","","5","pounds","Pennsylvania"
"2010-07-19","2012-06-04","046-2010","Georgia Firm Recalls Frozen Chicken Nugget Products That May Contain Foreign Materials","https://www.fsis.usda.gov/recalls-alerts/georgia-firm-recalls-frozen-chicken-nugget-products-may-contain-foreign-materials","Product Contamination","Closed","Low","","","","","","","","33072","pounds",""
"2010-08-03","2012-06-04","047-2010","New Jersey Firm Recalls Canned Meatball Products Due To Undeclared Allergen","https://www.fsis.usda.gov/recalls-alerts/new-jersey-firm-recalls-canned-meatball-products-due-undeclared-allergen","Unreported Allergens","Closed","High","","","","","","","","118892","pounds","Maryland, New Jersey, New York"
"2010-08-06","2012-06-04","048-2010","California Firm Recalls Frozen Ground Beef Products Due To Possible E. Coli O157: H7 Contamination","https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-frozen-ground-beef-products-due-possible-e.-coli-o157-h7","Product Contamination","Closed","High","","","","","","","","10121","pounds","California"
"2010-08-23","2012-06-04","049-2010","New York Firm Recalls Deli Meat Products for Possible Listeria Contamination","https://www.fsis.usda.gov/recalls-alerts/new-york-firm-recalls-deli-meat-products-possible-listeria-contamination","Product Contamination","Closed","High","","","","","","","","168249","pounds",""
"2010-08-28","2012-06-04","050-2010","Ground Beef Products (E. coli)","https://www.fsis.usda.gov/recalls-alerts/ground-beef-products-e.-coli","Product Contamination","Closed","High","M9400+P9400","cargill-meat-solutions-10","Cargill Meat Solutions","1252 Route 706   Wyalusing, PA 18853","(570) 746-3000","2022-02-10","Meat Processing, Meat Slaughter, Poultry Processing","0","pounds","Connecticut"
"2010-09-01","2012-06-04","051-2010","California Firm Recalls Cooked Shredded Pork Skin Products Produced Without Inspection","https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-cooked-shredded-pork-skin-products-produced-without","Produced Without Benefit of Inspection","Closed","High","","","","","","","","975","pounds","California"
"2010-09-13","2012-06-04","052-2010","Recall Notification Report","https://www.fsis.usda.gov/recalls-alerts/recall-notification-report-29","Import Violation","Closed","Low","","","","","","","","246713","pounds",""
"2010-09-24","2012-06-04","053-2010","Wisconsin Firm Recalls Cured Uncooked Sausage Products Due To Mislabeling and an Undeclared Allergen","https://www.fsis.usda.gov/recalls-alerts/wisconsin-firm-recalls-cured-uncooked-sausage-products-due-mislabeling-and","Unreported Allergens, Mislabeling","Closed","Low","M27488A+P27488A","mekong-fresh-meats-inc-0","Mekong Fresh Meats, Inc.","905 South Parkview Circuit   Mosinee, WI 54455","(715) 693-1341","2017-05-01","Meat Processing, Poultry Processing","5019","pounds","Alaska, Arkansas, California, Colorado, Georgia, Michigan, Minnesota, Missouri, North Carolina, Ohio, Oklahoma, Wisconsin"
"2010-10-04","2012-06-04","054-2010","Recall Notification Report","https://www.fsis.usda.gov/recalls-alerts/recall-notification-report-30","Mislabeling","Closed","Low","V19217","windsor-foods","Windsor Foods","4477 S. 70th E Ave.   Tulsa, OK 74145","(918) 663-9229","2006-07-07","Certification - Export, Identification - Meat, Off-Premise Freezing - Meat","420","pounds","Texas"
"2010-10-20","2012-06-04","055-2010","North Carolina Firm Recalls Ready-To-Eat Pork Barbeque Products Due To Possible Salmonella Contamination","https://www.fsis.usda.gov/recalls-alerts/north-carolina-firm-recalls-ready-eat-pork-barbeque-products-due-possible-salmonella","Product Contamination","Closed","High","","","","","","","","212","pounds","North Carolina"
"2010-10-22","2012-06-04","056-2010","Wisconsin Firm Recalls Beef Stick Products That May Contain Foreign Materials","https://www.fsis.usda.gov/recalls-alerts/wisconsin-firm-recalls-beef-stick-products-may-contain-foreign-materials","Product Contamination","Closed","Low","M2426B+P2426B","klements-sausage-company-inc","Klement's Sausage Company, Inc.","2650 S. Chase Ave.   Milwaukee, WI 53207","(800) 558-2330","2022-03-04","Meat Processing, Poultry Processing","1510","pounds",""
"2010-10-27","2012-06-04","057-2010","California Firm Recalls Ready-To-Eat Pork Products Due to Possible Adulteration","https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-ready-eat-pork-products-due-possible-adulteration","Product Contamination","Closed","Low","","","","","","","","","","California"
"2010-11-04","2012-06-04","058-2010","Illinois Firm Recalls Meat and Poultry Canned Products That May Be Underprocessed","https://www.fsis.usda.gov/recalls-alerts/illinois-firm-recalls-meat-and-poultry-canned-products-may-be-underprocessed","Processing Defect","Closed","High","M31776+P31776+V31776","eickmans-processing-co-inc","Eickman's Processing Co., Inc.","3226 S. Pecatonica Rd.   Seward, IL 61077","(815) 247-8451","2005-12-02","Meat Processing, Meat Slaughter, Poultry Processing, Voluntary Processing - Meat, Voluntary Slaughter - Meat","495","pounds","Illinois"
"2010-11-05","2012-06-04","059-2010","California Firm Recalls Ready-To-Eat Chicken Pasta Salad Products Due To Possible Salmonella Contamination","https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-ready-eat-chicken-pasta-salad-products-due-possible","Product Contamination","Closed","High","","","","","","","","25","pounds","California"
"2010-11-14","2012-06-04","060-2010","Texas Firm Recalls Fully Cooked Ready-To-Eat Turkey Breast Products for Possible Listeria Contamination","https://www.fsis.usda.gov/recalls-alerts/texas-firm-recalls-fully-cooked-ready-eat-turkey-breast-products-possible-listeria","Product Contamination","Closed","High","","","","","","","","2543","pounds",""
"2010-11-23","2012-06-04","061-2010","Connecticut Firm Recalls Appetizer Products for Possible Listeria Contamination","https://www.fsis.usda.gov/recalls-alerts/connecticut-firm-recalls-appetizer-products-possible-listeria-contamination","Product Contamination","Closed","High","M34051+V34051","calabro-cheese-corporation","Calabro Cheese Corporation","580 Coe Avenue   East Haven, CT 6512","(203) 469-1311","2017-06-21","Certification - Export, Meat Processing","566","pounds","Connecticut"
"2010-12-02","2012-06-04","062-2010","New York Firm Recalls Various Meat and Poultry Products Produced Without Inspection","https://www.fsis.usda.gov/recalls-alerts/new-york-firm-recalls-various-meat-and-poultry-products-produced-without-inspection","Produced Without Benefit of Inspection","Closed","High","","","","","","","","0","pounds","New York"
"2010-12-03","2012-06-04","063-2010","California Firm Recalls Chicken Tamales Due To Mislabeling and an Undeclared Allergen","https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-chicken-tamales-due-mislabeling-and-undeclared-allergen","Unreported Allergens","Closed","High","M4158+P4158","dianas-central-meat-market","Diana's Central Meat Market","4201 Redondo Beach Blvd   Lawndale, CA 90504","(310) 370-5788","1969-12-31","Meat Processing, Poultry Processing","17857","pounds","California"
"2010-12-05","2012-06-04","064-2010","Illinois Firm Recalls Canned Chicken Salad Products That May Contain Foreign Materials","https://www.fsis.usda.gov/recalls-alerts/illinois-firm-recalls-canned-chicken-salad-products-may-contain-foreign-materials","Product Contamination","Closed","Low","M1230+P169","suter-company-inc","The Suter Company, Inc.","258 May St.   Sycamore, IL 60178","(815) 895-9186","2020-09-29","Meat Processing, Poultry Processing","18132","pounds",""
"2010-12-08","2012-06-04","065-2010","California Firm Recalls Raw and Ready-To-Eat Pork Products Due to Mislabeling and an Undeclared Allergen","https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-raw-and-ready-eat-pork-products-due-mislabeling-and","Unreported Allergens, Mislabeling","Closed","Low","M40074+P40074","lr-fine-food-inc","L&R Fine Food, Inc.","13321 Garden Grove Blvd.   Garden Grove, CA 92843","(657) 657-5897","2020-07-23","Meat Processing, Poultry Processing","204","pounds","California"
"2010-12-10","2012-06-04","066-2010","California Firm Recalls Sauteed Chicken Products Due To Mislabeling and an Undeclared Allergen","https://www.fsis.usda.gov/recalls-alerts/california-firm-recalls-sauteed-chicken-products-due-mislabeling-and-undeclared","Unreported Allergens, Mislabeling","Closed","High","M405A+P9029A","pampanga-food-co","Pampanga Food Co.","1804 N Orangethorpe Park   Anaheim, CA 92801","(714) 773-0415","1997-07-08","Meat Processing, Poultry Processing","12047","pounds","California, Hawaii"
"2010-12-17","2012-06-04","067-2010","Texas Firm Recalls Ground Beef Products Due to Mislabeling and Possible Adulteration","https://www.fsis.usda.gov/recalls-alerts/texas-firm-recalls-ground-beef-products-due-mislabeling-and-possible-adulteration","Mislabeling, Product Contamination","Closed","Low","","","","","","","","8380","pounds","New Mexico"
